,Datetime,Class A,Class B
814,1403814600,6882,691
815,1403901000,3867,602
816,1403987400,4432,839
817,1404073800,4869,931
818,1404160200,4820,1040
819,1404246600,4436,852
820,1404333000,3152,258
821,1404419400,2927,415
822,1404505800,2205,264
823,1404592200,1940,271
824,1404678600,1736,182
825,1404765000,4518,928
826,1404851400,4693,862
827,1404937800,5638,632
828,1405024200,3676,467
829,1405110600,3521,682
830,1405197000,4755,980
831,1405283400,5062,954
832,1405369800,5240,1113
833,1405456200,5060,877
834,1405542600,6122,831
835,1405629000,5125,555
836,1405715400,3087,451
837,1405801800,4775,941
838,1405888200,4687,1020
839,1405974600,5005,1075
840,1406061000,5227,1074
841,1406147400,6553,990
842,1406233800,4288,754
843,1406320200,3761,787
844,1406406600,5881,1041
845,1406493000,7431,761
846,1406579400,8064,446
847,1406665800,5276,518
848,1406752200,7293,751
849,1406838600,5597,568
850,1406925000,5692,959
851,1407011400,5974,997
852,1407097800,5815,1208
853,1407184200,5194,1034
854,1407270600,5081,993
855,1407357000,6849,861
856,1407443400,5383,681
857,1407529800,4730,918
858,1407616200,5947,1171
859,1407702600,5807,1219
860,1407789000,5930,1230
861,1407875400,6208,1109
862,1407961800,6245,755
863,1408048200,4766,551
864,1408134600,4879,985
865,1408221000,5151,1017
866,1408307400,5124,1065
867,1408393800,4614,871
868,1408480200,5455,961
869,1408566600,6634,884
870,1408653900,5484,722
871,1408739400,4418,862
872,1408825800,5566,1044
873,1408912200,4798,782
874,1408998600,5335,978
875,1409085000,4955,835
876,1409171400,8024,883
877,1409257800,6283,647
878,1409344200,5688,978
879,1409430600,5717,1033
880,1409517000,5219,811
881,1409603400,6654,1102
882,1409689800,6154,869
883,1409776200,9331,900
884,1409862600,7568,690
885,1409949000,5790,912
886,1410035400,6410,1084
887,1410121800,6674,1009
888,1410208200,4822,774
889,1410294600,6061,921
890,1410381000,7929,874
891,1410467400,5034,592
892,1410553800,5763,1113
893,1410640200,6104,1136
894,1410726600,6697,1223
895,1410813000,5678,1088
896,1410899400,5104,888
897,1410985800,6826,805
898,1411072200,6734,639
899,1411158600,6014,1129
900,1411245000,5024,809
901,1411331400,4888,953
902,1411417800,4434,888
903,1411504200,5179,1048
904,1411590600,5389,871
905,1411677000,4603,670
906,1411763400,4746,996
907,1411849800,5654,1318
908,1411936200,5529,1284
909,1412022600,5960,1340
910,1412109000,6439,1196
911,1412195400,8435,776
912,1412281800,6210,937
913,1412368200,6670,1063
914,1412454600,5999,721
915,1412541000,4854,1005
916,1412627400,5705,1000
917,1412713800,6073,1049
918,1412800200,7277,965
919,1412886600,5302,628
920,1412973000,4044,933
921,1413059400,1725,251
922,1413182700,3208,568
923,1413232200,4986,1136
924,1413318600,5514,1149
925,1413405000,5471,685
926,1413491400,5418,772
927,1413577800,4636,1104
928,1413664200,4448,1201
929,1413750600,3826,937
930,1413837000,3612,981
931,1413923400,3807,850
932,1414009800,5089,846
933,1414103400,5541,881
934,1414182600,4172,1162
935,1414269000,4852,1203
936,1414355400,4429,1270
937,1414441800,4322,1115
938,1414528200,4631,1003
939,1414614600,5996,964
940,1414701000,3168,495
941,1414787400,5051,943
942,1414873800,11280,672
943,1414960200,6780,125
944,1415046600,7220,128
945,1415133000,4628,976
946,1415219400,5855,1177
947,1415305800,4530,853
948,1415392200,4693,1204
949,1415478600,4517,1150
950,1415565000,5093,1327
951,1415651400,4567,1177
952,1415737800,5537,1423
953,1415824200,6277,1215
954,1415910600,4621,793
955,1415997000,5124,1166
956,1416083400,5027,1468
957,1416169800,5003,1535
958,1416256200,5068,1507
959,1416342600,5668,1516
960,1416429000,5988,875
961,1416515400,3750,666
962,1416601800,4768,1261
963,1416688200,4822,1250
964,1416774600,4786,1306
965,1416861000,4557,1267
966,1416947400,4689,877
967,1417033800,4868,278
968,1417120200,1948,78
969,1417206600,1845,186
970,1417293000,1865,173
971,1417379400,1821,164
972,1417465800,1916,164
973,1417552200,2093,186
974,1417638600,2925,197
975,1417725000,1766,100
976,1417811400,1777,196
977,1417897800,1921,255
978,1417984200,1767,261
979,1418070600,1881,278
980,1418157000,2423,312
981,1418243400,3478,274
982,1418329800,2562,120
983,1418416200,1700,70
984,1418502600,1866,271
985,1418589000,1969,251
986,1418675400,2105,221
987,1418761800,2456,277
988,1418848200,3537,249
989,1418934600,2460,150
990,1419021000,3384,220
991,1419107400,2030,74
992,1419193800,1983,164
993,1419280200,1531,102
994,1419366600,1888,204
995,1419453000,2593,177
996,1419539400,1850,113
997,1419625800,1883,180
998,1419712200,1846,189
999,1419798600,1891,185
1000,1419885000,1863,205
1001,1419971400,2027,227
1002,1420057800,2836,183
1003,1420144200,1768,130
1004,1420230600,1836,213
1005,1420317000,1893,249
1006,1420403400,1985,212
1007,1420489800,1867,236
1008,1420576200,2140,234
1009,1420662600,2737,206
1010,1420749000,1886,104
1011,1420835400,1894,202
1012,1420921800,1785,206
1013,1421008200,1862,198
1014,1421094600,1909,208
1015,1421181000,2203,224
1016,1421267400,3004,172
1017,1421353800,2130,90
1018,1421440200,1881,218
1019,1421526600,1893,220
1020,1421613000,1647,178
1021,1421699400,1912,197
1022,1421785800,2042,200
1023,1421872200,3206,185
1024,1421958600,1466,86
1025,1422045000,1900,204
1026,1422131400,1899,230
1027,1422217800,2057,278
1028,1422304200,1940,210
1029,1422390600,2205,205
1030,1422477000,3024,165
1031,1422563400,2090,111
1032,1422649800,1952,238
1033,1422736200,671,41
1034,1424517600,1473,294
1035,1424550600,5178,1345
1036,1424637000,5306,1539
1037,1424723400,5522,1648
1038,1424809800,5929,1776
1039,1424896200,7192,1550
1040,1424982600,5200,1196
1041,1425069000,5655,1651
1042,1425155400,5591,1857
1043,1425241800,5762,1884
1044,1425328200,5772,1805
1045,1425414600,5982,1790
1046,1425501000,7677,1829
1047,1425587400,5465,1501
1048,1425673800,5620,1956
1049,1425760200,5923,1987
1050,1425846600,5651,1898
1051,1425933000,5002,1701
1052,1426019400,6107,1908
1053,1426105800,7469,1741
1054,1426192200,5646,1487
1055,1426278600,5781,1759
1056,1426365000,5981,1694
1057,1426451400,6465,1463
1058,1426537800,7315,1112
1059,1426624200,8035,880
1060,1426710600,10083,623
1061,1426797000,8421,325
1062,1426883400,9879,249
1063,1426973400,8778,303
1064,1427056200,8678,325
1065,1427142600,8036,317
1066,1427229000,7691,579
1067,1427431800,7380,596
1068,1427488200,8246,519
1069,1427574600,7848,834
1070,1427661000,7521,838
1071,1427747400,8502,604
1072,1427833800,10610,383
1073,1427920200,9852,206
1074,1428006600,6487,618
1075,1428093000,5653,1370
1076,1428179400,5466,1455
1077,1428265800,5516,1428
1078,1428352200,5452,1506
1079,1428438600,1383,283
1080,1428525000,7437,1426
1081,1428611400,4291,683
1082,1428786600,3967,1148
1083,1428870600,5136,1510
1084,1428957000,5487,1518
1085,1429043400,5949,1529
1086,1429129800,8140,1417
1087,1429216200,4527,836
1088,1429304400,5135,1641
1089,1429389000,5362,1700
1090,1429475400,5467,1665
1091,1429561800,5134,1582
1092,1429648200,5857,1592
1093,1429734600,7795,1378
1094,1429821000,6316,1030
1095,1429907400,5275,1585
1096,1429993800,5302,1622
1097,1430080200,5405,1464
1098,1430166600,5807,1480
1099,1430253000,6420,1635
